Match_ID,Mode,Map,Result,Team_Score,Opponent_Score,Kills,Deaths,Assists,Damage,Rating,KDA Ratio,Win Flag,Damage Per Kill,Performance Category
1,CS Ranked,Bermuda,Win,4,2,10,2,2,3263,13.4,6,1,326.3,Elite
2,CS Ranked,Bermuda,Win,4,2,6,2,3,2725,11.6,4.5,1,454.1666667,Good
3,CS Ranked,Solara,Loss,2,4,7,4,2,3447,11.8,2.25,0,492.4285714,Good
4,CS Ranked,Bermuda,Win,4,3,4,3,2,2531,9.8,2,1,632.75,Average
5,CS Ranked,Solara,Win,4,1,0,4,2,519,4.5,0.5,1,0,Poor
6,CS Ranked,Purgatory,Win,4,2,1,5,2,1545,6.4,0.6,1,1545,Poor
7,CS Ranked,Solara,Win,4,2,7,3,5,3357,11.7,4,1,479.5714286,Good
8,CS Ranked,Solara,Loss,2,4,7,4,2,3447,11.8,2.25,0,492.4285714,Good
9,CS Ranked,Purgatory,Loss,1,4,2,4,1,998,5.8,0.75,0,499,Poor
10,CS Ranked,Purgatory,Win,4,1,8,2,2,3101,13.1,5,1,387.625,Elite
11,BR Ranked,Bermuda,Win,2,0,3,1,0,856,10.4,3,1,285.3333333,Good
12,CS Ranked,Kalahari,Loss,2,4,3,5,0,2550,7.4,0.6,0,850,Average
13,BR Ranked,Kalahari,Win,1,0,5,2,1,1407,12.1,3,1,281.4,Elite
14,CS Ranked,Purgatory,Win,4,1,8,2,2,3101,13.1,5,1,387.625,Elite
15,CS Ranked,Bermuda,Win,4,0,5,2,4,1582,13,4.5,1,316.4,Elite
16,CS Ranked,Bermuda,Win,4,0,5,1,2,1876,11.6,7,1,375.2,Good
17,CS Ranked,Purgatory,Win,4,1,5,3,3,2138,12.6,2.666666667,1,427.6,Elite
18,CS Ranked,Bermuda,Win,4,3,8,3,3,2880,11.9,3.666666667,1,360,Good
19,CS Ranked,Bermuda,Win,4,1,8,1,2,2196,12.8,10,1,274.5,Elite
20,CS Ranked,Bermuda,Win,4,1,5,2,7,2577,11.5,6,1,515.4,Good
21,CS Ranked,Bermuda,Win,4,1,7,1,4,2572,12.9,11,1,367.4285714,Elite
22,CS Ranked,Bermuda,Win,4,0,6,1,2,1555,12.6,8,1,259.1666667,Elite
23,CS Ranked,Bermuda,Win,4,0,6,1,3,1596,12.8,9,1,266,Elite
24,CS Ranked,Bermuda,Win,4,3,7,4,3,2383,11.4,2.5,1,340.4285714,Good
25,CS Ranked,Kalahari,Win,4,3,10,4,0,2302,12.1,2.5,1,230.2,Elite
26,CS Ranked,Purgatory,Win,4,2,7,3,4,2625,12.5,3.666666667,1,375,Elite
27,CS Ranked,Bermuda,Win,4,3,9,3,0,3373,12.4,3,1,374.7777778,Elite
28,CS Ranked,Solara,Defeat,3,4,5,4,4,2157,8.3,2.25,0,431.4,Average
29,CS Ranked,Purgatory,Victory,4,0,2,2,3,778,6.9,2.5,0,389,Poor
30,CS Ranked,Bermuda,Victory,4,0,2,2,3,546,6.5,2.5,0,273,Poor
31,CS Ranked,Bermuda,Victory,4,2,6,4,1,1168,8.6,1.75,0,194.6666667,Average
32,CS Ranked,Solara,Victory,4,1,8,2,2,2472,12.8,5,0,309,Elite
33,CS Ranked,Solara,Victory,4,0,3,3,2,1335,9.2,1.666666667,0,445,Average
34,CS Ranked,Bermuda,Victory,4,1,6,4,0,2023,11,1.5,0,337.1666667,Good
35,CS Ranked,Kalahari,Victory,4,3,6,5,3,2236,10.9,1.8,0,372.6666667,Good
36,CS Ranked,Bermuda,Victory,4,0,8,3,1,1904,13.4,3,0,238,Elite
37,CS Ranked,Bermuda,Victory,4,1,3,3,4,1527,10.1,2.333333333,0,509,Good
38,CS Ranked,Bermuda,Defeat,3,4,4,4,2,1755,8.1,1.5,0,438.75,Average
39,CS Ranked,Solara,Defeat,3,4,3,5,7,2858,8.8,2,0,952.6666667,Average
40,CS Ranked,Solara,Defeat,2,4,8,4,1,2976,11.5,2.25,0,372,Good
41,CS Ranked,Bermuda,Victory,4,0,9,5,1,2217,13.7,2,0,246.3333333,Elite
42,CS Ranked,Bermuda,Victory,4,3,2,5,2,1483,6.6,0.8,0,741.5,Poor
43,CS Ranked,Solara,Victory,4,3,5,3,3,2089,8.9,2.666666667,0,417.8,Average
44,CS Ranked,Kalahari,Victory,4,1,5,3,0,1086,9.2,1.666666667,0,217.2,Average
45,CS Ranked,Purgatory,Defeat,3,4,6,6,0,2967,10.2,1,0,494.5,Good
46,CS Ranked,Solara,Victory,4,2,4,5,2,2183,9.4,1.2,0,545.75,Average
47,CS Ranked,Kalahari,Victory,4,2,7,3,0,2599,11,2.333333333,0,371.2857143,Good
48,CS Ranked,Bermuda,Win,4,2,10,2,2,3263,13.4,6,1,326.3,Elite
49,CS Ranked,Bermuda,Win,4,2,6,2,3,2725,11.6,4.5,1,454.1666667,Good
50,CS Ranked,Solara,Loss,2,4,7,4,2,3447,11.8,2.25,0,492.4285714,Good
51,CS Ranked,Bermuda,Win,4,3,4,3,2,2531,9.8,2,1,632.75,Average
52,CS Ranked,Solara,Win,4,1,0,4,2,519,4.5,0.5,1,0,Poor
53,CS Ranked,Purgatory,Win,4,2,1,5,2,1545,6.4,0.6,1,1545,Poor
54,CS Ranked,Solara,Win,4,3,7,3,5,3357,12.3,4,1,479.5714286,Elite
55,CS Ranked,Solara,Loss,2,4,7,4,2,3447,11.8,2.25,0,492.4285714,Good
56,CS Ranked,Purgatory,Loss,1,4,2,4,1,998,5.8,0.75,0,499,Poor
57,CS Ranked,Bermuda,Loss,1,4,3,4,1,2307,7.8,1,0,769,Average
58,CS Ranked,Bermuda,Win,4,0,5,2,2,1210,12.5,3.5,1,242,Elite
59,CS Ranked,Bermuda,Win,4,3,7,3,1,2618,10.8,2.666666667,1,374,Good
60,CS Ranked,Bermuda,Win,4,1,6,2,2,1947,11.9,4,1,324.5,Good
61,BR Ranked,Bermuda,Top 3,3,13,10,1,4,4119,15,14,0,411.9,Elite
62,BR Ranked,Bermuda,Top 5,5,13,3,1,0,1875,9.2,3,0,625,Average
63,CS Ranked,Bermuda,Win,4,3,5,4,5,3126,9.5,2.5,1,625.2,Average
64,CS Ranked,Bermuda,Loss,1,4,5,4,1,2113,9.5,1.5,0,422.6,Average
65,CS Ranked,Bermuda,Win,4,1,8,1,0,2909,12.9,8,1,363.625,Elite
66,CS Ranked,Kalahari,Loss,3,4,6,4,3,3031,10.8,2.25,0,505.1666667,Good
67,CS Ranked,Kalahari,Win,4,3,7,4,4,3191,12.9,2.75,1,455.8571429,Elite
68,CS Ranked,Bermuda,Loss,0,4,5,2,2,1724,10.9,3.5,0,344.8,Good
69,CS Ranked,Bermuda,Loss,0,4,1,1,4,1311,8.4,5,0,1311,Average
70,CS Ranked,Bermuda,Loss,0,4,5,2,4,1561,11.9,4.5,0,312.2,Good
71,CS Ranked,Solara,Win,4,2,8,3,4,3424,12.9,4,1,428,Elite
72,CS Ranked,Bermuda,Loss,0,4,5,2,1,1407,11.4,3,0,281.4,Good
73,CS Ranked,Bermuda,Loss,1,4,4,3,4,1320,10.8,2.666666667,0,330,Good
74,CS Ranked,Solara,Loss,3,4,8,4,3,2667,11.3,2.75,0,333.375,Good
75,CS Ranked,Purgatory,Win,4,3,10,3,0,3657,12.4,3.333333333,1,365.7,Elite
76,CS Ranked,Bermuda,Loss,0,4,0,4,0,564,3.6,0,0,0,Poor
77,CS Ranked,Bermuda,Loss,3,4,8,4,3,3631,11.4,2.75,0,453.875,Good
78,CS Ranked,Kalahari,Win,4,0,5,3,6,2276,12.4,3.666666667,1,455.2,Elite
79,CS Ranked,Bermuda,Loss,2,4,4,4,3,1579,8.5,1.75,0,394.75,Average
80,CS Ranked,Purgatory,Loss,1,4,5,2,1,1377,10.8,3,0,275.4,Good
81,CS Ranked,Kalahari,Loss,3,4,5,5,2,1658,8.3,1.4,0,331.6,Average
82,CS Ranked,Solara,Loss,3,4,1,6,2,279,1,0.5,0,279,Poor
83,CS Ranked,Bermuda,Win,4,1,4,2,0,1097,8.4,2,1,274.25,Average
84,CS Ranked,Bermuda,Loss,0,4,1,4,1,759,4.8,0.5,0,759,Poor
85,CS Ranked,Purgatory,Win,4,3,1,3,4,735,5.6,1.666666667,1,735,Poor
86,CS Ranked,Bermuda,Win,4,3,5,4,4,1875,9.1,2.25,1,375,Average
87,CS Ranked,Solara,Win,4,0,1,1,5,1755,9.2,6,1,1755,Average
88,CS Ranked,Solara,Loss,3,4,7,5,5,2560,11.1,2.4,0,365.7142857,Good
89,CS Ranked,Bermuda,Loss,3,4,4,5,1,2172,7.3,1,0,543,Average
90,CS Ranked,Kalahari,Win,4,2,4,3,2,2070,10.6,2,1,517.5,Good
91,CS Ranked,Solara,Win,4,3,6,5,1,2095,9.5,1.4,1,349.1666667,Average
92,CS Ranked,Solara,Win,4,1,6,2,2,1256,11.5,4,1,209.3333333,Good
93,CS Ranked,Bermuda,Loss,1,4,5,4,2,2213,11.3,1.75,0,442.6,Good
94,CS Ranked,Bermuda,Win,4,1,5,1,2,2395,11.8,7,1,479,Good
95,CS Ranked,Kalahari,Win,4,1,9,2,3,3187,13.7,6,1,354.1111111,Elite
96,CS Ranked,Bermuda,Loss,2,4,5,4,0,1970,9.5,1.25,0,394,Average
97,CS Ranked,Bermuda,Loss,3,4,4,5,0,1350,6.3,0.8,0,337.5,Poor
98,CS Ranked,Bermuda,Loss,2,4,3,4,2,1229,7,1.25,0,409.6666667,Average
99,CS Ranked,Bermuda,Win,4,1,2,1,3,1045,7.2,5,1,522.5,Average
100,CS Ranked,Bermuda,Win,4,1,0,5,2,540,4.4,0.4,1,0,Poor
101,CS Ranked,Bermuda,Win,4,1,5,1,2,2395,11.8,7,1,479,Good
102,CS Ranked,Kalahari,Loss,1,4,4,4,2,1977,9.2,1.5,0,494.25,Average
103,CS Ranked,Kalahari,Win,4,1,4,2,4,999,9,4,1,249.75,Average
104,CS Ranked,Bermuda,Win,4,1,1,3,1,922,5.1,0.666666667,1,922,Poor
105,CS Ranked,Bermuda,Loss,3,4,6,5,0,2624,8.9,1.2,0,437.3333333,Average
106,CS Ranked,Solara,Loss,2,4,6,4,1,1817,9.5,1.75,0,302.8333333,Average
107,CS Ranked,Solara,Loss,2,4,3,5,2,1570,6.6,1,0,523.3333333,Poor
108,CS Ranked,Bermuda,Win,4,2,5,2,4,2144,9.8,4.5,1,428.8,Average
109,CS Ranked,Bermuda,Win,4,1,9,1,3,3302,13.7,12,1,366.8888889,Elite
110,CS Ranked,Bermuda,Win,4,1,4,1,5,1512,10.5,9,1,378,Good
111,CS Ranked,Bermuda,Win,4,0,2,1,1,714,7.4,3,1,357,Average
112,CS Ranked,Bermuda,Loss,3,4,2,4,1,1102,5.2,0.75,0,551,Poor
113,CS Ranked,Kalahari,Win,4,0,3,2,2,493,7.5,2.5,1,164.3333333,Average
114,CS Ranked,Bermuda,Win,4,3,5,5,0,1923,8.4,1,1,384.6,Average
115,CS Ranked,Solara,Win,4,2,5,5,2,1674,8.8,1.4,1,334.8,Average
116,CS Ranked,Purgatory,Win,4,1,5,3,2,1716,10.5,2.333333333,1,343.2,Good
117,CS Ranked,Bermuda,Win,4,1,0,3,4,707,4.6,1.333333333,1,0,Poor
118,CS Ranked,Bermuda,Win,4,2,6,3,0,3003,11.8,2,1,500.5,Good
119,CS Ranked,Bermuda,Win,4,2,3,4,6,1550,8.8,2.25,1,516.6666667,Average
120,CS Ranked,Solara,Win,4,2,3,3,1,1311,8,1.333333333,1,437,Average
121,CS Ranked,Kalahari,Win,4,0,4,2,4,1466,11.8,4,1,366.5,Good
122,CS Ranked,Bermuda,Loss,2,4,4,5,2,2688,9.2,1.2,0,672,Average
123,CS Ranked,Solara,Win,4,0,4,1,1,1088,9.5,5,1,272,Average
124,CS Ranked,Bermuda,Win,4,1,3,3,1,882,7.5,1.333333333,1,294,Average
125,CS Ranked,Bermuda,Win,4,0,3,3,6,1545,10.2,3,1,515,Good
126,CS Ranked,Bermuda,Win,4,3,4,4,3,2535,10,1.75,1,633.75,Good
127,CS Ranked,Bermuda,Win,4,2,4,3,3,1270,9.7,2.333333333,1,317.5,Average
128,CS Ranked,Kalahari,Loss,3,4,3,6,1,2057,7.7,0.666666667,0,685.6666667,Average
129,CS Ranked,Kalahari,Win,4,1,2,2,1,663,6.7,1.5,1,331.5,Poor
130,CS Ranked,Solara,Win,4,2,3,3,2,1521,8.2,1.666666667,1,507,Average
131,CS Ranked,Bermuda,Win,4,0,3,1,3,1330,9.2,6,1,443.3333333,Average
132,Special CS Ranked,Bermuda,Win,4,2,2,3,6,1584,8.7,2.666666667,1,792,Average
133,CS Ranked,Bermuda,Win,4,1,0,4,4,209,4.1,1,1,0,Poor
134,CS Ranked,Bermuda,Win,4,1,6,1,3,1614,12,9,1,269,Elite
135,CS Ranked,Purgatory,Win,4,1,3,3,1,706,6.8,1.333333333,1,235.3333333,Poor
136,Special CS Ranked,Solara,Win,4,3,7,3,3,2818,12.5,3.333333333,1,402.5714286,Elite
137,CS Ranked,Bermuda,Win,1,4,1,3,1,922,5.1,0.666666667,1,922,Poor
138,BR Ranked,Bermuda,Loss,2,4,0,1,0,32,4.4,0,0,0,Poor
139,BR Ranked,Kalahari,Loss,1,4,2,4,2,1423,8.7,1,0,711.5,Average
140,BR Ranked,Bermuda,Loss,1,4,1,1,2,882,5.6,3,0,882,Poor
141,BR Ranked,Solara,Loss,2,4,1,3,3,644,6.6,1.333333333,0,644,Poor
142,BR Ranked,Bermuda,Loss,4,1,2,1,0,933,7.4,2,0,466.5,Average
143,BR Ranked,Nexterra,Loss,1,4,6,1,5,2555,12.1,11,0,425.8333333,Elite
144,BR Ranked,Kalahari,Loss,1,4,2,4,0,990,5.9,0.5,0,495,Poor
145,BR Ranked,Solara,Loss,4,2,3,2,2,1771,8.9,2.5,0,590.3333333,Average
146,BR Ranked,Nexterra,Loss,2,4,6,3,2,2763,13.2,2.666666667,0,460.5,Elite
147,BR Ranked,Nexterra,Loss,4,2,3,1,5,1384,9.6,8,0,461.3333333,Average
148,BR Ranked,Bermuda,Loss,4,3,3,4,0,1670,10.1,0.75,0,556.6666667,Good
149,BR Ranked,Bermuda,Loss,4,2,6,2,1,1843,10.7,3.5,0,307.1666667,Good
150,BR Ranked,Bermuda,Loss,2,4,2,3,3,1572,10.3,1.666666667,0,786,Good
151,BR Ranked,Solara,Loss,4,1,0,2,1,409,5,0.5,0,0,Poor
